step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
14200,145.4080,1.273438,1.064231,0.156362,0.052845,2026-04-26 17:19:22
14300,146.4320,1.318630,1.105283,0.160959,0.052387,2026-04-26 17:19:32
14400,147.4560,1.315547,1.090256,0.163584,0.061707,2026-04-26 17:19:41
14500,148.4800,1.369805,1.140386,0.169703,0.059715,2026-04-26 17:19:54
14600,149.5040,1.276548,1.076433,0.161934,0.038181,2026-04-26 17:20:08
14700,150.5280,1.285347,1.056865,0.164608,0.063874,2026-04-26 17:20:18
14800,151.5520,1.170617,0.969356,0.157427,0.043834,2026-04-26 17:20:28
14900,152.5760,1.319283,1.091781,0.168542,0.058960,2026-04-26 17:20:38
15000,153.6000,1.273811,1.045718,0.169161,0.058931,2026-04-26 17:20:47
15100,154.6240,1.218148,1.008483,0.165742,0.043923,2026-04-26 17:20:57
15200,155.6480,1.138573,0.923061,0.161517,0.053994,2026-04-26 17:21:07
15300,156.6720,1.181923,0.954130,0.166988,0.060805,2026-04-26 17:21:17
15400,157.6960,1.186691,0.951632,0.165448,0.069611,2026-04-26 17:21:26
15500,158.7200,1.098202,0.887721,0.161048,0.049432,2026-04-26 17:21:39
15600,159.7440,1.132606,0.900967,0.164679,0.066959,2026-04-26 17:21:53
15700,160.7680,1.106440,0.901018,0.162203,0.043218,2026-04-26 17:22:03
15800,161.7920,1.215626,1.001173,0.169473,0.044981,2026-04-26 17:22:13
15900,162.8160,1.245852,1.029480,0.169879,0.046493,2026-04-26 17:22:22
16000,163.8400,1.079453,0.868671,0.162864,0.047919,2026-04-26 17:22:31
16100,164.8640,1.203562,0.980408,0.167164,0.055990,2026-04-26 17:22:40
16200,165.8880,1.271681,1.036654,0.174079,0.060948,2026-04-26 17:22:49
16300,166.9120,1.084305,0.876029,0.166103,0.042173,2026-04-26 17:22:58
16400,167.9360,1.148331,0.940375,0.170579,0.037377,2026-04-26 17:23:06
16500,168.9600,1.040910,0.825506,0.163913,0.051492,2026-04-26 17:23:17
16600,169.9840,1.037807,0.835936,0.169669,0.032202,2026-04-26 17:23:31
16700,171.0080,1.158397,0.917510,0.166600,0.074287,2026-04-26 17:23:42
16800,172.0320,1.146176,0.920851,0.171111,0.054214,2026-04-26 17:23:51
16900,173.0560,1.225236,0.995527,0.168449,0.061259,2026-04-26 17:24:01
17000,174.0800,1.189861,0.983561,0.171015,0.035286,2026-04-26 17:24:10
17100,175.1040,1.127994,0.899776,0.173572,0.054647,2026-04-26 17:24:19
17200,176.1280,1.179235,0.954286,0.176198,0.048751,2026-04-26 17:24:29
17300,177.1520,1.045688,0.827335,0.168390,0.049964,2026-04-26 17:24:38
17400,178.1760,1.143813,0.931935,0.174648,0.037230,2026-04-26 17:24:47
17500,179.2000,0.990277,0.779067,0.168104,0.043106,2026-04-26 17:24:58
17600,180.2240,1.029386,0.818218,0.171230,0.039938,2026-04-26 17:25:11
